[영통동] 신나무실건영 | 134.81sqm | 102,000
[영통동] 신나무실건영 | 134.81sqm | 114,500
[영통동] 신나무실건영 | 134.81sqm | 76,000
[영통동] 신나무실건영 | 84.99sqm | 86,000
[영통동] 신나무실건영 | 99.96sqm | 110,000
[영통동] 신나무실건영 | 99.96sqm | 82,000
[영통동] 신나무실건영 | 99.96sqm | 92,000
[영통동] 신나무실건영 | 99.96sqm | 96,000
[영통동] 신나무실건영 | 99.96sqm | 96,500
[영통동] 신나무실극동 | 75.69sqm | 63,500
[영통동] 신나무실극동 | 75.69sqm | 65,500
[영통동] 신나무실극동 | 75.69sqm | 67,800
[영통동] 신나무실극동 | 75.69sqm | 68,500
[영통동] 신나무실극동 | 75.69sqm | 69,600
[영통동] 신나무실극동 | 84.9sqm | 68,800
[영통동] 신나무실극동 | 84.9sqm | 69,700
[영통동] 신나무실극동 | 84.9sqm | 72,000
[영통동] 신나무실극동 | 84.9sqm | 80,500
[영통동] 신나무실동보 | 84.9sqm | 56,000
[영통동] 신나무실동보 | 84.9sqm | 59,500
[영통동] 신나무실동보 | 84.9sqm | 60,500
[영통동] 신나무실동보 | 84.9sqm | 61,000
[영통동] 신나무실동보 | 84.9sqm | 61,500
[영통동] 신나무실동보 | 84.9sqm | 63,000
[영통동] 신나무실동보 | 84.9sqm | 67,000
[영통동] 신나무실동보 | 84.9sqm | 68,500
[영통동] 신나무실미주 | 101.99sqm | 81,000
[영통동] 신나무실신명 | 84.9sqm | 57,000
[영통동] 신나무실신명 | 84.9sqm | 59,000
[영통동] 신나무실신명 | 84.9sqm | 61,200
[영통동] 신나무실신명 | 84.9sqm | 63,000
[영통동] 신나무실신명 | 84.9sqm | 64,400
[영통동] 신나무실신명 | 84.9sqm | 64,500
[영통동] 신나무실신명 | 84.9sqm | 68,000
[영통동] 신나무실신명 | 84.9sqm | 68,300
[영통동] 신나무실신성 | 59.965sqm | 36,700
[영통동] 신나무실신성 | 59.965sqm | 37,000
[영통동] 신나무실신성 | 59.965sqm | 38,000
[영통동] 신나무실신성 | 59.965sqm | 38,300
[영통동] 신나무실신성 | 59.965sqm | 39,500
[영통동] 신나무실신성 | 59.965sqm | 40,000
[영통동] 신나무실신성 | 59.965sqm | 41,000
[영통동] 신나무실신성 | 59.965sqm | 42,000
[영통동] 신나무실신성 | 59.965sqm | 42,500
[영통동] 신나무실신성 | 59.965sqm | 42,800
[영통동] 신나무실신성 | 59.965sqm | 43,000
[영통동] 신나무실신성 | 59.965sqm | 43,100
[영통동] 신나무실신성 | 59.965sqm | 44,700
[영통동] 신나무실신안 | 59.965sqm | 32,800
[영통동] 신나무실신안 | 59.965sqm | 37,500
[영통동] 신나무실신안 | 59.965sqm | 39,300
