[고등동] 수원역푸르지오자이 | 84.98㎡ | 85,000만원
[고등동] 수원역푸르지오자이 | 84.98㎡ | 86,000만원
[고등동] 수원역푸르지오자이 | 84.98㎡ | 88,400만원
[고등동] 수원역푸르지오자이 | 84.98㎡ | 89,500만원
[고등동] 수원역푸르지오자이 | 84.99㎡ | 83,000만원
[고등동] 수원역푸르지오자이 | 84.99㎡ | 83,200만원
[고등동] 수원역푸르지오자이 | 84.99㎡ | 84,500만원
[고등동] 수원역푸르지오자이 | 84.99㎡ | 85,000만원
[고등동] 수원역푸르지오자이 | 84.99㎡ | 85,200만원
[망포동] 동수원자이1차 | 84.9688㎡ | 54,300만원
[망포동] 동수원자이1차 | 84.9688㎡ | 55,000만원
[망포동] 동수원자이1차 | 84.9688㎡ | 55,700만원
[망포동] 동수원자이1차 | 84.9688㎡ | 57,000만원
[망포동] 동수원자이1차 | 84.9688㎡ | 58,500만원
[망포동] 동수원자이1차 | 84.9688㎡ | 59,000만원
[망포동] 동수원자이1차 | 84.9688㎡ | 59,800만원
[망포동] 동수원자이1차 | 84.9688㎡ | 60,000만원
[망포동] 동수원자이1차 | 84.9688㎡ | 61,000만원
[망포동] 동수원자이1차 | 84.9688㎡ | 61,500만원
[망포동] 동수원자이1차 | 84.9688㎡ | 63,000만원
[망포동] 동수원자이1차 | 84.9688㎡ | 64,300만원
[망포동] 동수원자이1차 | 84.9688㎡ | 65,000만원
[망포동] 동수원자이1차 | 84.9688㎡ | 66,000만원
[망포동] 동수원자이2차 | 84.9394㎡ | 55,000만원
[망포동] 동수원자이2차 | 84.9394㎡ | 61,000만원
[망포동] 동수원자이2차 | 84.9394㎡ | 62,700만원
[망포동] 동수원자이2차 | 84.9394㎡ | 63,500만원
[망포동] 동수원자이2차 | 84.9394㎡ | 66,900만원
[망포동] 망포역아이파크 | 84.9745㎡ | 74,000만원
[망포동] 망포현대2아이파크 | 84.9945㎡ | 62,800만원
[망포동] 망포현대2아이파크 | 84.9945㎡ | 63,500만원
[망포동] 망포현대2아이파크 | 84.9945㎡ | 65,000만원
[망포동] 망포현대2아이파크 | 84.9945㎡ | 66,000만원
[망포동] 엘지동수원자이 | 79.0967㎡ | 56,700만원
[망포동] 엘지동수원자이 | 79.0967㎡ | 60,000만원
[망포동] 엘지동수원자이 | 79.0967㎡ | 61,200만원
[망포동] 엘지동수원자이 | 84.9838㎡ | 58,500만원
[망포동] 엘지동수원자이 | 84.9838㎡ | 59,000만원
[망포동] 엘지동수원자이 | 84.9838㎡ | 60,000만원
[망포동] 엘지동수원자이 | 84.9838㎡ | 60,250만원
[망포동] 엘지동수원자이 | 84.9838㎡ | 61,000만원
[망포동] 영통SKVIEW | 84.4619㎡ | 86,000만원
[망포동] 영통SKVIEW | 84.4619㎡ | 90,000만원
[망포동] 영통SKVIEW | 84.4619㎡ | 93,000만원
[망포동] 영통SKVIEW | 84.4619㎡ | 94,000만원
[망포동] 영통SKVIEW | 84.4619㎡ | 96,800만원
[망포동] 영통SKVIEW | 84.6149㎡ | 90,000만원
[망포동] 영통SKVIEW | 84.6149㎡ | 91,500만원
[망포동] 영통아이파크캐슬1단지 | 75.93㎡ | 104,000만원
[망포동] 영통아이파크캐슬1단지 | 75.93㎡ | 97,000만원
[망포동] 영통아이파크캐슬1단지 | 84.69㎡ | 105,000만원
[망포동] 영통아이파크캐슬1단지 | 84.69㎡ | 106,000만원
