거래일,동,아파트,면적(㎡),층,금액(만원),평당가(만원)
2026.08.21,영통동,풍림,84.8,16층,48000,1869.9
2026.08.20,망포동,마젤란21(1101동),84.6,1층,53000,2070.3
2026.08.19,영통동,건영1차,85.0,3층,80000,3111.0
2026.08.18,영통동,신나무실풍림,84.9,19층,89700,3491.9
2026.08.17,영통동,신나무실동보,84.9,12층,77500,3016.9
2026.08.15,망포동,힐스테이트영통,84.9,16층,144000,5606.3
2026.08.14,망포동,동수원자이1차,85.0,18층,71500,2781.1
2026.08.13,망포동,영통롯데캐슬엘클래스1단지,85.0,13층,109000,4239.0
2026.08.13,매교동,매교역푸르지오SKVIEW,85.0,4층,108500,4220.2
2026.08.12,망포동,영통아이파크캐슬2단지,84.7,9층,110000,4292.7
2026.08.11,영통동,벽산(1053-2),85.0,4층,61000,2372.9
2026.08.11,망포동,영통아이파크캐슬3단지,84.7,7층,101800,3970.8
2026.08.11,매교동,매교역푸르지오SKVIEW,85.0,9층,110000,4278.6
2026.08.11,매교동,매교역푸르지오SKVIEW,85.0,9층,114000,4434.2
2026.08.10,영통동,신나무실동보,84.9,9층,75800,2950.8
2026.08.10,망포동,영통롯데캐슬엘클래스1단지,85.0,17층,98000,3811.2
2026.08.10,망포동,늘푸른벽산,84.9,12층,66700,2595.7
2026.08.10,매교동,힐스테이트푸르지오수원,84.9,6층,95000,3697.7
2026.08.08,매교동,힐스테이트푸르지오수원,84.9,8층,94000,3658.8
2026.08.07,망포동,쌍용스윗닷홈2차,84.9,10층,40500,1576.8
2026.08.07,망포동,극동의푸른별,84.9,15층,48000,1868.8
2026.08.07,망포동,동수원자이1차,85.0,1층,59500,2314.3
2026.08.07,망포동,쌍용스윗닷홈2차,84.9,3층,45000,1752.0
2026.08.07,망포동,일신건영휴먼빌,84.3,6층,42500,1665.2
2026.08.07,망포동,망포벽산이빌리지,84.9,4층,44500,1732.3
2026.08.06,망포동,영통롯데캐슬엘클래스2단지,85.0,8층,85000,3305.6
2026.08.06,망포동,마젤란21,84.7,5층,52000,2028.5
2026.08.06,망포동,영통롯데캐슬엘클래스2단지,85.0,13층,94000,3655.4
2026.08.06,망포동,영통SKVIEW,84.5,7층,102000,3991.3
2026.08.06,망포동,망포벽산이빌리지,84.9,4층,50000,1946.4
2026.08.06,망포동,영통아이파크캐슬1단지,84.7,20층,130000,5073.2
2026.08.06,매교동,힐스테이트푸르지오수원,84.9,6층,90000,3503.1
2026.08.03,매교동,힐스테이트푸르지오수원,84.9,1층,84500,3289.0
2026.07.31,망포동,영통아이파크캐슬1단지,84.7,4층,130000,5073.2
2026.07.31,영통동,영통e-편한세상,85.0,8층,64000,2489.1
2026.07.31,망포동,영통아이파크캐슬2단지,84.7,14층,124000,4839.1
2026.07.31,매교동,힐스테이트푸르지오수원,84.9,12층,94900,3693.8
2026.07.30,영통동,풍림,84.8,10층,72700,2832.1
2026.07.30,망포동,영통아이파크캐슬1단지,84.7,11층,139000,5424.4
2026.07.29,영통동,영통3풍림아이원,84.9,11층,57500,2239.0
2026.07.28,망포동,극동의푸른별,84.9,2층,46000,1790.9
2026.07.28,영통동,영통e-편한세상,85.0,3층,61000,2372.4
2026.07.27,영통동,신나무실신명,84.9,6층,76000,2958.5
2026.07.27,망포동,방죽마을영통뜨란채,84.7,19층,60000,2341.8
2026.07.27,영통동,태영,84.9,4층,75000,2919.3
2026.07.24,망포동,영통롯데캐슬엘클래스1단지,84.9,14층,103000,4011.8
2026.07.24,영통동,신나무실극동,84.9,16층,86000,3347.8
2026.07.23,망포동,마젤란21(1101동),84.6,10층,57000,2226.5
2026.07.23,망포동,늘푸른벽산,84.9,15층,60000,2335.0
2026.07.23,망포동,동수원자이1차,85.0,13층,65700,2555.5
2026.07.23,영통동,태영,84.9,10층,73500,2860.9
2026.07.23,영통동,신나무실신명,84.9,17층,73000,2841.8
2026.07.23,영통동,영통에듀파크(331동~337동),85.0,10층,94500,3676.1
2026.07.23,매교동,건영캐스빌,82.6,4층,29000,1159.8
2026.07.23,매교동,매교역푸르지오SKVIEW,85.0,12층,104000,4045.2
2026.07.23,매교동,매교역푸르지오SKVIEW,85.0,20층,104000,4045.2
2026.07.23,매교동,힐스테이트푸르지오수원,84.9,10층,90000,3503.1
2026.07.22,망포동,힐스테이트영통,84.9,17층,138000,5372.7
2026.07.21,영통동,신나무실풍림,84.9,20층,84400,3285.5
2026.07.21,망포동,동수원자이1차,85.0,20층,62000,2411.6
2026.07.21,영통동,삼성,84.8,13층,75000,2921.7
2026.07.21,영통동,신나무실풍림,84.9,20층,84400,3285.5
2026.07.21,망포동,동수원자이1차,85.0,23층,62500,2431.0
2026.07.20,영통동,풍림,84.8,11층,66000,2571.1
2026.07.20,망포동,삼정라츠,84.9,3층,48000,1869.6
2026.07.20,망포동,영통아이파크캐슬3단지,84.7,10층,100000,3900.6
2026.07.19,망포동,동수원자이2차,84.9,15층,74300,2891.0
2026.07.18,영통동,삼성,84.9,14층,81000,3152.1
2026.07.18,망포동,망포역아이파크,85.0,7층,84500,3286.5
2026.07.18,매교동,힐스테이트푸르지오수원,84.9,15층,92000,3581.0
2026.07.17,망포동,망포역아이파크,85.0,8층,83000,3228.2
2026.07.17,망포동,쌍용스윗닷홈2차,84.9,6층,41500,1615.8
2026.07.17,망포동,영통롯데캐슬엘클래스2단지,85.0,10층,89000,3461.0
2026.07.16,영통동,영통아이파크,85.0,24층,51000,1983.9
2026.07.16,망포동,영통아이파크캐슬1단지,84.7,12층,132700,5178.6
2026.07.16,망포동,힐스테이트영통,84.9,9층,140600,5474.0
2026.07.16,망포동,한양수자인,85.0,1층,83000,3227.8
2026.07.16,망포동,방죽마을영통뜨란채,84.7,14층,67500,2634.5
2026.07.16,영통동,영통에듀파크(331동~337동),85.0,1층,85000,3306.6
2026.07.16,망포동,영통아이파크캐슬2단지,84.7,21층,117000,4565.9
2026.07.16,망포동,망포현대2아이파크,85.0,13층,68500,2663.6
2026.07.16,망포동,방죽마을영통뜨란채,84.7,7층,59000,2301.6
2026.07.16,매교동,힐스테이트푸르지오수원,84.9,5층,90000,3503.1
2026.07.15,영통동,태영,84.9,2층,66900,2604.9
2026.07.15,망포동,영통SKVIEW,84.6,10층,103000,4023.1
2026.07.15,망포동,동수원자이2차,84.9,8층,70300,2735.4
2026.07.15,망포동,망포마을쌍용1차,84.9,4층,69000,2687.0
2026.07.15,영통동,벽산(1053-2),85.0,3층,61500,2392.4
2026.07.15,망포동,망포벽산이빌리지,84.9,13층,44500,1732.3
2026.07.15,망포동,영통아이파크캐슬2단지,84.7,3층,108500,4234.2
2026.07.15,망포동,망포벽산이빌리지,84.9,5층,44900,1747.9
2026.07.15,망포동,영통롯데캐슬엘클래스1단지,85.0,16층,110000,4277.9
2026.07.15,영통동,신나무실풍림,84.9,3층,84800,3301.1
2026.07.14,영통동,벽산(1053-2),85.0,14층,66000,2567.4
2026.07.14,망포동,동수원자이2차,84.9,23층,71200,2770.4
2026.07.14,영통동,태영,84.9,11층,76000,2958.2
2026.07.13,망포동,영통롯데캐슬엘클래스1단지,85.0,1층,85500,3324.9
2026.07.13,영통동,태영,84.9,17층,70000,2725.6
2026.07.13,망포동,힐스테이트영통,84.9,17층,126000,4905.5
2026.07.13,망포동,동수원자이1차,85.0,12층,60500,2353.2
2026.07.13,매교동,매교역푸르지오SKVIEW,85.0,1층,89500,3481.2
2026.07.13,매교동,매교역푸르지오SKVIEW,85.0,14층,103400,4021.9
2026.07.11,매교동,매교역푸르지오SKVIEW,85.0,6층,107500,4181.3
2026.07.10,망포동,영통롯데캐슬엘클래스1단지,85.0,8층,95000,3694.5
2026.07.10,망포동,망포벽산이빌리지,84.9,13층,50000,1946.4
2026.07.10,망포동,한양수자인,85.0,4층,88800,3453.4
2026.07.10,영통동,신나무실동보,84.9,16층,74000,2880.7
